_	LEV
ما في انكد من انك تيجي ع حالك وتصحا بكير مشان تحضر محاضرة وبالاخر ما بتلحقها 	LEV
  كيف بدك تصير تفهم و انت بتعمللها لايك ع اشي ضد مبادئك بس عشان صورتها عجبتك < وجه بلا تعبير >  	LEV
سدّ بأعالي جبل لبنان؛ بتعرفوا شو اسمه _ 	LEV
عشانك شبيح خوينا اعتذر لك	LEV
شو بخاف دق عليك ومالاقيك شو بخاف بنص الليل ماحاكيك< بريق > 	LEV
لو بيسكّر بوزروو بقى لعمى بقلبوا ما ضجر وما فهم انّوا ما حدا بالبّلد تايقوا لعمى شو انّو حمار بس كل عمرو هيك ريكوو	LEV
شو مين ماخذة  رجل من  كاليفورنيوم مقنطر بال  بولونيوم	LEV
قولتك لازم يكون معي الوتد  < وجه مفكر >  خلص بجيبه احتياط الواحد ما بعرف شو بصيرله	LEV
يعني لولا ما هالدكتور بدو يفصلني كان هسا انا بعمان اوفت	LEV
 _ فانز نانسي شو عملو بفانز إليسا جلادين < وجه بدموع الفرح > 	LEV
وقت تصحى وبقلبك معبا شوق  مافيك تعمل شي غير انك توزعو هون و هون مشان ما يقلب عليك بس مشكلة خاف ينفهم غلط < وجه مفكر > انو لهل الدرجة كبير الشوق الك< قلب مجروح > 	LEV
 _ بالزمنات كان الحب للشجعان الجبناء تزوجهم امهاتهم حاليا الحب للي معو مصاري  الشجاعة بتعرف شو تعمل فيها هلوسات_مسا	LEV
 _ صبااح الخير والحب سكسيه للتواصل معى فوت هون  زوجه بدويه  وقافى 	LEV
 _ بغض النظر انو فضولي قتلني شو عم تحضرو < وجه بدموع الفرح > < وجه بدموع الفرح >  بس اللون الكحلي_يليق_بك < وجه مبتسم بعيون قلب > < وجه مبتسم يرتدي نظارة شمسية > < قرد لا يرى الشر >  	LEV
 _ اله ايوا فرجيهم شو يعني محبوب_العرب والملايين الله يزيدهم ويحماك< وجه مبتسم بعيون قلب > < ارتفع > < ارتفع >  يعقوب_شاهين	LEV
  الحرية_لأحمد  لما كان التيار الوطني خارج الحكم كان يطالب بحرية التعبير لما صار ب الحكم صار يسجن الناس كرمال بوست ع 	LEV
  هسى في ذمتك دى خلقه زول عندو قروش لصاله وعشاء وحفله ب_طه سليمان  < وجه بدموع الفرح > < قلب مجروح >  	LEV
لك منيح طلعوا سمعانين بالقدس 	LEV
  رتويت يا مطيع ل ثلاثينيه للتواصل معى فوت هون  مطلقه سكسيه  مكوة 	LEV
  برضو نفس ما حكت هديل الجملة الصباحية لكل يوم احد لما اطلع ع مؤتة  < وجه مبتسم مع عرق > 	LEV
  كل شوي يسألوني شو تغير في وشو صرلي عنن يختفي < النوتات الموسيقية > < النوتات الموسيقية > < وجه مبتسم بعيون قلب > < وجه مبتسم بعيون قلب >  عم_بتعلق_فيك 	LEV
مش قادره اكل اشي بتعرفي هاد الشعور الي تشوفي اكل او بدك تاكلي بتصيري بدك تستفرغي  الـ 	LEV
تورطت وصرت عربي العمى على سنة هالحياة شو بتخزي	LEV
  انا عم بلش حبك انا< قلب أحمر > ️ 	LEV
 _ نظراته الحزينة مو طبيعي شو معبره < وجه يبكي >  ü ü ıçığ ü ğ 	LEV
 تؤبرني توني  الحمدالله انك مو لبناني	LEV
 _ ع فكرة ما في ولا ام بحياتها حكت لبنتها هيك و مستحيل اصدق < وجه مفكر >  مش عارفة انه لهالدرجة الشباب ماكلين بحالهم مقلب و مفكر 	LEV
حدن بيعرف نحنا شو منستفيد بِ بلاد الأرز بً تقديم وتأخير الساعة كل ستة أشهر صباحو	LEV
شو نفع نقدم الوقت ساعة  وسياسيين هالبلد عم يرجعوه سنين شو نفع نقدم الوقت ساعة  والاعلام وبرامج 	LEV
معقول الجو شو حلوو < وجه مبتسم بعيون قلب > < وجه مبتسم بعيون قلب > 	LEV
شو أحسن نظام 	LEV
  وش_موهبتك  الله وكيلك كلي مواهب< وجه مبتسم بعيون قلب >  عاد مدري شو اكتب وشو اخلي< وجه مبتسم بعيون مبتسمة > < قرد لا يرى الشر >  واحلى موهبه الــ< وجه نائم > 	LEV
شو صحاني عل  و انا معطلة	LEV
بلش الصيف يلا نجهز موسم البحر < فلفل حار > 	LEV
 _ عاارفين  شو يعني تماام  يعني بلاوي الكوون في بس ما في گلاام 	LEV
طيب بلكي هو سارقها كمان 	LEV
هاي < ثعبان >  شو بتقربلك	LEV
فلاش شو تعني	LEV
 _ اوامر_ملكيه وش_موهبتك  نفسي اعرف شو موهبتي بالحياة < وجه مفكر > غير الأكل طبعاً < وجه بدموع الفرح > صباح الدوام والتفائل < وجه بدموع الفرح > < يد النصر > ️< قلبين > 	LEV
  اليوم عطيت عمو ختيار قداحه قام قللي اهم شي بالحياه الحب و حساب بالبنك غير هيك ما في شي بيهم	LEV
